player,cnt,hs,acs,adr,rating,fk
Laz,38,27.342105263157894,188.26315789473685,123.13157894736842,1.0010526315789476,1.868421052631579
TENNN,38,23.81578947368421,205.39473684210526,136.18421052631578,0.9297368421052631,2.736842105263158
Dep,38,25.210526315789473,235.21052631578948,149.6315789473684,1.0299999999999998,3.8421052631578947
crow,38,25.68421052631579,165.5,108.8157894736842,0.8934210526315788,1.1842105263157894
SugarZ3ro,38,23.842105263157894,194.68421052631578,122.1842105263158,1.0344736842105267,1.105263157894737
MaKo,59,26.322033898305083,204.28813559322035,132.8135593220339,1.1332203389830509,1.5593220338983051
Foxy9,27,26.11111111111111,227.14814814814815,143.92592592592592,1.0033333333333334,4.518518518518518
stax,59,29.050847457627118,172.88135593220338,111.45762711864407,0.9464406779661017,1.0169491525423728
Zest,34,34.529411764705884,181.76470588235293,116.61764705882354,0.9747058823529412,1.5294117647058822
Rb,59,25.864406779661017,185.72881355932202,121.08474576271186,0.985084745762712,1.8305084745762712
Munchkin,50,23.2,210.66,142.04,1.0371999999999997,2.12
Carpe,50,25.08,172.66,110.34,0.9273999999999998,1.22
xeta,50,22.72,192.3,124.88,1.0492000000000001,1.28
iNTRO,5,27.4,184.8,127.2,0.99,0.0
Sayaplayer,50,25.7,231.62,151.66,1.0745999999999996,3.94
Bazzi,23,17.695652173913043,195.04347826086956,125.95652173913044,1.0308695652173916,1.3478260869565217
AYRIN,23,19.652173913043477,168.30434782608697,111.08695652173913,0.9073913043478261,1.3043478260869565
t3xture,23,29.26086956521739,221.7826086956522,142.1304347826087,1.0469565217391303,3.1739130434782608
WRONSKI,9,26.77777777777778,188.11111111111111,118.33333333333333,0.8977777777777778,3.0
Monyet,23,28.391304347826086,219.82608695652175,140.30434782608697,1.14,2.5652173913043477
ban,45,26.333333333333332,182.4,115.8,0.9117777777777777,2.2
Jinggg,60,18.616666666666667,235.58333333333334,155.08333333333334,1.0626666666666666,2.95
Benkai,7,20.857142857142858,210.71428571428572,140.28571428571428,1.0857142857142859,1.8571428571428572
f0rsakeN,61,26.983606557377048,216.55737704918033,141.59016393442624,1.0331147540983605,3.0491803278688523
d4v41,60,27.0,198.38333333333333,131.7,1.1286666666666672,1.3
mindfreak,61,28.295081967213115,169.54098360655738,109.0327868852459,1.001311475409836,1.1475409836065573
Suggest,16,30.8125,209.625,139.875,0.9843749999999999,2.4375
takej,22,35.04545454545455,176.6818181818182,114.68181818181819,0.8972727272727272,1.7727272727272727
Reita,17,28.352941176470587,178.8235294117647,121.29411764705883,0.8864705882352942,1.2941176470588236
Anthem,22,26.863636363636363,192.45454545454547,130.6818181818182,0.9400000000000002,1.2727272727272727
xnfri,20,26.2,167.2,110.7,0.852,1.0
invy,38,32.26315789473684,210.8421052631579,137.5,1.118684210526316,1.7894736842105263
BORKUM,39,19.846153846153847,181.82051282051282,118.25641025641026,1.0282051282051283,1.358974358974359
Jremy,39,18.974358974358974,213.5897435897436,139.84615384615384,0.9782051282051284,3.0
DubsteP,39,26.923076923076923,201.82051282051282,135.2051282051282,0.9841025641025644,2.8974358974358974
