agent,cnt,kill,death,assist,KD,pick,kast
astra,283,13.45583038869258,13.823321554770319,7.777385159010601,0.9734151329243353,0.22712680577849118,73.10247349823321
breach,361,12.806094182825484,14.401662049861496,9.504155124653739,0.8892094633583381,0.2897271268057785,73.23822714681441
brimstone,201,14.194029850746269,14.721393034825871,9.149253731343284,0.9641770868536668,0.16131621187800965,73.50248756218906
chamber,40,16.0,14.05,2.575,1.1387900355871885,0.03210272873194221,66.325
cypher,154,14.577922077922079,14.337662337662337,4.7272727272727275,1.0167572463768118,0.12359550561797752,69.73376623376623
fade,146,13.842465753424657,14.164383561643836,6.945205479452055,0.9772727272727272,0.11717495987158907,72.54109589041096
gekko,59,13.338983050847459,15.152542372881356,5.508474576271187,0.8803131991051455,0.04735152487961477,69.61016949152543
harbor,199,13.537688442211055,15.040201005025125,7.276381909547739,0.9001002338790511,0.1597110754414125,71.03517587939699
jett,780,17.124358974358973,15.353846153846154,3.2935897435897434,1.115313961255845,0.6260032102728732,69.08076923076923
kayo,316,13.876582278481013,15.079113924050633,11.389240506329115,0.9202518363064008,0.2536115569823435,73.09493670886076
killjoy,809,15.090234857849197,14.427688504326328,3.715698393077874,1.04592186429061,0.6492776886035313,69.97156983930779
neon,73,16.52054794520548,16.383561643835616,3.958904109589041,1.0083612040133778,0.05858747993579454,67.63013698630137
omen,575,13.589565217391304,15.022608695652174,9.504347826086956,0.9046075480435285,0.4614767255216693,71.41739130434783
phoenix,21,16.38095238095238,16.0,7.9523809523809526,1.0238095238095237,0.016853932584269662,71.19047619047619
raze,517,16.943907156673113,16.059961315280464,4.609284332688588,1.0550403468625797,0.4149277688603531,70.86653771760155
reyna,14,19.714285714285715,14.785714285714286,3.9285714285714284,1.3333333333333333,0.011235955056179777,74.42857142857143
sage,81,14.185185185185185,15.209876543209877,6.802469135802469,0.9326298701298701,0.06500802568218299,69.58024691358025
skye,617,14.123176661264182,14.73095623987034,8.912479740680713,0.958741335680493,0.49518459069020865,73.03403565640194
sova,379,14.419525065963061,14.005277044854882,6.675461741424802,1.029577995478523,0.3041733547351525,71.96569920844327
viper,583,14.74271012006861,14.483704974271012,6.509433962264151,1.0178825201326385,0.4678972712680578,71.28816466552315
yoru,22,15.363636363636363,16.454545454545453,4.818181818181818,0.9337016574585636,0.01765650080256822,70.5909090909091
