map,map_rate,win_own,own,win_own_rate
Ascent,0.16693418940609953,220,435,0.5057471264367817
Pearl,0.13162118780096307,185,325,0.5692307692307692
Haven,0.14285714285714285,195,375,0.52
Lotus,0.15890850722311398,200,425,0.47058823529411764
Icebox,0.03531300160513644,40,105,0.38095238095238093
Fracture,0.11717495987158909,205,325,0.6307692307692307
Split,0.15409309791332262,210,425,0.49411764705882355
Bind,0.09309791332263243,95,210,0.4523809523809524
